County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Florida,18.9,18.09,18.33,18.76,17.4,17.42,17.8,17.51,17.52,15.54
Alachua,15.38,18.04,21.25,25.65,17.65,15.49,20.25,17.02,21.6,14.68
Baker,0,9.47,26.6,3.44,19.86,18.73,29.93,10.04,13.53,10.56
Bay,15.83,15.97,13.69,10.96,18.16,17.01,19.88,17.77,14.77,22.27
Bradford,10.37,7.09,10.36,15.57,6.15,10.35,6.51,0,23.68,6.1
Brevard,19.72,17.89,16.92,23.54,19.08,17.47,21.72,21.83,20.56,14.84
Broward,20.3,19.29,18.51,20.45,18.97,18.95,19.8,19.56,18.45,15.7
Calhoun,12.31,0,13.2,17.1,11.87,12.06,11.78,5.53,13.14,4.87
Charlotte,13.15,17.39,17.63,16.89,14.38,12.52,15.62,15.56,13.15,16.16
Citrus,22.11,16.94,13.42,14.72,11.84,17.29,18.51,17.27,11.44,5.93
Clay,23.96,12.61,19.55,16.45,12.87,11.67,22.22,18.11,12.56,20.91
Collier,20.7,18.32,17.32,15.76,16.84,19.82,15.29,14.08,15.1,10.75
Columbia,14.19,15.46,20.86,13.01,14.37,15.84,14.34,14.72,14.34,14.88
DeSoto,15.61,15.05,6.21,16.37,14.27,12.1,21.33,13.61,11.86,10.07
Dixie,8.9,31.85,6.53,19.6,13.12,20.35,15.73,14.87,4.79,0
Duval,17.34,17.27,22.05,23.1,19.3,19.26,18.17,18.26,18.14,17.25
Escambia,20.91,21.89,20.03,21.26,15.68,16.88,17.14,15.34,16.12,17.72
Flagler,16.84,20.59,16.16,16.56,23.21,21.58,27.45,13.66,11.74,13.58
Franklin,25.95,16.23,33.18,16.57,17.44,0,0,5.14,10.94,10.37
Gadsden,13.26,20.1,4.24,14.66,7.93,28.41,15.77,21.98,15.18,13.08
Gilchrist,19.76,10.78,36.25,6.1,4.67,23.81,18.68,22.43,3.9,3.76
Glades,6.01,6.27,0,18.04,11.75,0,4.94,5.82,8.91,0
Gulf,6.06,4.97,20.8,5.04,10.4,5.4,17.09,37.95,6.36,9.29
Hamilton,0,0,0,7.2,6.68,24.88,6.03,22.68,34.82,0
Hardee,17.23,17.58,10.26,12.04,23.29,18.28,23.07,14.99,21.61,3.13
Hendry,17.97,12.95,15.41,16.28,20.5,8.54,9.38,15.42,13.46,7.74
Hernando,22.58,15.77,15.03,14.7,19.51,17.56,17.76,18.93,13.72,13.28
Highlands,12.44,16.05,15.78,24.09,20.2,16.24,17.5,21.53,17.84,6.83
Hillsborough,19.75,17.42,18.26,19.72,18.62,18.74,18.53,18.26,17.39,17.52
Holmes,14.77,27.65,13.93,12.76,20.01,17.91,14.89,27.95,7.37,7.24
Indian River,15.02,18.07,14.63,16.65,15.76,15.54,14.74,14.46,19.9,17.63
Jackson,19.12,10.63,9.27,12.84,10.19,10.25,12.65,13.71,13.49,10.37
Jefferson,38.96,19.15,0,29.76,6.23,10.42,33.85,29.96,9.28,25.84
Lafayette,0,0,11.9,25.34,11.48,0,0,11.96,23.27,23.71
Lake,21.87,24.17,24.58,20.25,22.2,17.92,19.46,19.51,18.96,19.66
Lee,17.21,18.05,14.02,18.61,14.39,15.88,14.71,16.36,16.51,15.4
Leon,20.8,17.79,18.01,14.22,12.35,11.7,12.52,9.76,17.11,14.33
Levy,18.85,17.93,13.07,17.07,11.95,11.36,22.36,6.4,15.56,9.01
Liberty,0,29.35,26.4,0,24.02,14.46,0,10.77,0,0
Madison,29.29,31.45,17.25,8.51,6.44,14.58,15.86,8.74,22.89,10.48
Manatee,15.12,16.75,18.71,18.93,13.54,14.68,13.1,15.17,17.28,12.87
Marion,18.91,16.42,18.98,22.9,17.87,17.07,17.73,17.87,20.84,14.49
Martin,13.82,13.86,19.5,19.54,10.65,11.34,12.1,11.4,11.32,16.11
Miami-Dade,19.45,18.22,18.86,19.49,18.13,17.15,18.48,17.32,17.69,15.83
Monroe,14.38,16.21,22.05,15.14,13.25,13.13,10.93,13.82,14.63,12.43
Nassau,19.61,18.29,14.58,16.99,5.72,12.61,20.73,14.79,20.75,15.26
Okaloosa,22.33,23.08,23.17,13.05,16.8,19.74,18.67,19.39,12.16,19.35
Okeechobee,15.08,24.49,17.87,20.41,10.52,7.32,9.39,14.95,9.29,13.61
Orange,17.87,17.62,19.98,18.31,19.02,20.77,18.73,18.62,19.09,16.32
Osceola,18.33,17.2,10.55,11.76,14.76,17.75,13.36,14.24,18.81,13.65
Palm Beach,22.33,20.87,20.6,20.04,17.51,19.88,20.01,20.58,19.63,16.92
Pasco,17.84,15.37,17.86,16.35,15.98,16.72,16.14,18.26,14.29,18.49
Pinellas,18.09,14.97,17.09,16.18,17.78,16.11,15.43,15.48,16.8,12.65
Polk,19.35,20.2,18.16,21.6,21.5,19.61,19.57,18.98,21.19,15.54
Putnam,8.29,19.41,21.44,16.99,16.47,21.36,20.87,19.54,17.01,19.35
Santa Rosa,20.93,13.22,17.64,16,15.32,13.75,16.96,15.33,10.37,17.26
Sarasota,19.06,20.13,17.42,13.6,12.78,16.37,20,16.29,17.13,17.23
Seminole,13.82,18.17,11.08,19.53,16.75,18.72,16.64,16.99,18.17,12.78
St. Johns,22.02,18.18,25.2,17.13,18.28,18.72,13.77,19.22,16.62,16.42
St. Lucie,15.41,17.18,14.11,13.23,12.84,12.8,17.05,8.43,11.9,13.95
Sumter,16.99,22.48,18.44,16.69,16.77,15.58,19.04,19.62,13.69,22.79
Suwannee,7.83,31.39,14.76,17.4,12.45,22.86,26.45,21.91,21.06,11.88
Taylor,27.17,4.72,27.52,20.94,15.56,15.49,8.72,3.07,13.73,27.38
Union,49.9,52.74,85.31,47.2,51.17,71.56,39.13,68.65,67.87,56.16
Volusia,20.08,18.42,19.19,19.93,18.31,15.52,16.5,17.01,16.46,15.4
Wakulla,17.28,27.47,14.38,22.01,21.11,16.49,13.4,9.07,11.26,15.83
Walton,13.26,11.58,12.81,7.84,18.2,11.05,6.63,9,9.21,14.7
Washington,12.29,15.59,8.08,14.99,14.73,4.8,7.04,9.65,13.46,6.44
