Rating Area ID,County
Rating Area 1,Alachua
Rating Area 2,Baker
Rating Area 3,Bay
Rating Area 4,Bradford
Rating Area 5,Brevard
Rating Area 6,Broward
Rating Area 7,Calhoun
Rating Area 8,Charlotte
Rating Area 9,Citrus
Rating Area 10,Clay
Rating Area 11,Collier
Rating Area 12,Columbia
Rating Area 13,Desoto
Rating Area 14,Dixie
Rating Area 15,Duval
Rating Area 16,Escambia
Rating Area 17,Flagler
Rating Area 18,Franklin
Rating Area 19,Gadsden
Rating Area 20,Gilchrist
Rating Area 21,Glades
Rating Area 22,Gulf
Rating Area 23,Hamilton
Rating Area 24,Hardee
Rating Area 25,Hendry
Rating Area 26,Hernando
Rating Area 27,Highlands
Rating Area 28,Hillsborough
Rating Area 29,Holmes
Rating Area 30,Indian River
Rating Area 31,Jackson
Rating Area 32,Jefferson
Rating Area 33,Lafayette
Rating Area 34,Lake
Rating Area 35,Lee
Rating Area 36,Leon
Rating Area 37,Levy
Rating Area 38,Liberty
Rating Area 39,Madison
Rating Area 40,Manatee
Rating Area 41,Marion
Rating Area 42,Martin
Rating Area 43,Miami-Dade
Rating Area 44,Monroe
Rating Area 45,Nassau
Rating Area 46,Okaloosa
Rating Area 47,Okeechobee
Rating Area 48,Orange
Rating Area 49,Osceola
Rating Area 50,Palm Beach
Rating Area 51,Pasco
Rating Area 52,Pinellas
Rating Area 53,Polk
Rating Area 54,Putnam
Rating Area 55,Santa Rosa
Rating Area 56,Sarasota
Rating Area 57,Seminole
Rating Area 58,St. Johns
Rating Area 59,St. Lucie
Rating Area 60,Sumter
Rating Area 61,Suwannee
Rating Area 62,Taylor
Rating Area 63,Union
Rating Area 64,Volusia
Rating Area 65,Wakulla
Rating Area 66,Walton
Rating Area 67,Washington